tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
,36,76,50,,0.9,0.1,1.3333333333333333,50.333333333333336,25.833333333333336
,36,76,50,,0.95,0.05,1.1111111111111112,51.77777777777778,26.444444444444446
,36,76,52,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.4,0.6,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.45,0.55,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.5,0.5,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.55,0.45,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.6,0.4,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,52,,0.65,0.35,1.5555555555555556,47.888888888888886,24.72222222222222
,36,76,52,,0.7,0.3,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,52,,0.75,0.25,1.5555555555555556,48.55555555555556,25.055555555555557
,36,76,52,,0.8,0.2,1.3333333333333333,49.77777777777778,25.555555555555557
,36,76,52,,0.85,0.15,1.1111111111111112,50.77777777777778,25.944444444444446
,36,76,52,,0.9,0.1,1.1111111111111112,51.888888888888886,26.5
,36,76,52,,0.95,0.05,1.1111111111111112,52.44444444444444,26.77777777777778
,36,76,54,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.4,0.6,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.45,0.55,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.5,0.5,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.55,0.45,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,54,,0.6,0.4,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,54,,0.65,0.35,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,54,,0.7,0.3,1.5555555555555556,48.666666666666664,25.11111111111111
,36,76,54,,0.75,0.25,1.3333333333333333,49.77777777777778,25.555555555555557
,36,76,54,,0.8,0.2,1.1111111111111112,50.77777777777778,25.944444444444446
,36,76,54,,0.85,0.15,1.1111111111111112,52.111111111111114,26.611111111111114
,36,76,54,,0.9,0.1,1.1111111111111112,52.666666666666664,26.88888888888889
,36,76,54,,0.95,0.05,0.8888888888888888,54.333333333333336,27.61111111111111
,36,76,56,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.4,0.6,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.45,0.55,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.5,0.5,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,56,,0.55,0.45,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,56,,0.6,0.4,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,56,,0.65,0.35,1.5555555555555556,48.77777777777778,25.166666666666668
,36,76,56,,0.7,0.3,1.3333333333333333,49.77777777777778,25.555555555555557
,36,76,56,,0.75,0.25,1.1111111111111112,51.0,26.055555555555557
