tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
30,,74,68,0.7,,0.3,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,68,0.75,,0.25,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,68,0.8,,0.2,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,68,0.85,,0.15,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,68,0.9,,0.1,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,68,0.95,,0.05,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,70,0.05,,0.95,3.7777777777777777,39.333333333333336,21.555555555555557
30,,74,70,0.1,,0.9,3.7777777777777777,39.333333333333336,21.555555555555557
30,,74,70,0.15,,0.85,3.7777777777777777,39.333333333333336,21.555555555555557
30,,74,70,0.2,,0.8,3.111111111111111,39.333333333333336,21.222222222222225
30,,74,70,0.25,,0.75,2.6666666666666665,39.333333333333336,21.0
30,,74,70,0.3,,0.7,2.6666666666666665,39.333333333333336,21.0
30,,74,70,0.35,,0.65,2.2222222222222223,39.333333333333336,20.77777777777778
30,,74,70,0.4,,0.6,1.7777777777777777,39.333333333333336,20.555555555555557
30,,74,70,0.45,,0.55,1.5555555555555556,39.333333333333336,20.444444444444446
30,,74,70,0.5,,0.5,1.5555555555555556,39.333333333333336,20.444444444444446
30,,74,70,0.55,,0.45,1.1111111111111112,39.333333333333336,20.222222222222225
30,,74,70,0.6,,0.4,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,70,0.65,,0.35,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,70,0.7,,0.3,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,70,0.75,,0.25,0.6666666666666666,39.333333333333336,20.0
30,,74,70,0.8,,0.2,0.6666666666666666,39.333333333333336,20.0
30,,74,70,0.85,,0.15,0.4444444444444444,39.44444444444444,19.944444444444443
30,,74,70,0.9,,0.1,0.4444444444444444,39.44444444444444,19.944444444444443
30,,74,70,0.95,,0.05,0.4444444444444444,39.44444444444444,19.944444444444443
30,,74,72,0.05,,0.95,3.7777777777777777,39.333333333333336,21.555555555555557
30,,74,72,0.1,,0.9,3.5555555555555554,39.333333333333336,21.444444444444446
30,,74,72,0.15,,0.85,2.888888888888889,39.333333333333336,21.11111111111111
30,,74,72,0.2,,0.8,2.6666666666666665,39.333333333333336,21.0
30,,74,72,0.25,,0.75,2.4444444444444446,39.333333333333336,20.88888888888889
30,,74,72,0.3,,0.7,1.5555555555555556,39.333333333333336,20.444444444444446
30,,74,72,0.35,,0.65,1.5555555555555556,39.333333333333336,20.444444444444446
30,,74,72,0.4,,0.6,1.3333333333333333,39.333333333333336,20.333333333333336
30,,74,72,0.45,,0.55,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,72,0.5,,0.5,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,72,0.55,,0.45,0.6666666666666666,39.333333333333336,20.0
30,,74,72,0.6,,0.4,0.6666666666666666,39.333333333333336,20.0
30,,74,72,0.65,,0.35,0.6666666666666666,39.44444444444444,20.055555555555554
30,,74,72,0.7,,0.3,0.4444444444444444,39.44444444444444,19.944444444444443
30,,74,72,0.75,,0.25,0.4444444444444444,39.55555555555556,20.0
30,,74,72,0.8,,0.2,0.4444444444444444,39.55555555555556,20.0
30,,74,72,0.85,,0.15,0.4444444444444444,39.666666666666664,20.055555555555554
30,,74,72,0.9,,0.1,0.0,39.666666666666664,19.833333333333332
30,,74,72,0.95,,0.05,0.0,40.0,20.0
30,,74,74,0.05,,0.95,2.888888888888889,39.333333333333336,21.11111111111111
30,,74,74,0.1,,0.9,2.6666666666666665,39.333333333333336,21.0
30,,74,74,0.15,,0.85,2.0,39.333333333333336,20.666666666666668
30,,74,74,0.2,,0.8,1.7777777777777777,39.333333333333336,20.555555555555557
30,,74,74,0.25,,0.75,1.1111111111111112,39.333333333333336,20.222222222222225
30,,74,74,0.3,,0.7,1.1111111111111112,39.333333333333336,20.222222222222225
30,,74,74,0.35,,0.65,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,74,0.4,,0.6,0.8888888888888888,39.333333333333336,20.11111111111111
30,,74,74,0.45,,0.55,0.8888888888888888,39.55555555555556,20.22222222222222
30,,74,74,0.5,,0.5,0.6666666666666666,39.55555555555556,20.11111111111111
30,,74,74,0.55,,0.45,0.4444444444444444,39.77777777777778,20.11111111111111
30,,74,74,0.6,,0.4,0.4444444444444444,39.77777777777778,20.11111111111111
30,,74,74,0.65,,0.35,0.2222222222222222,40.0,20.11111111111111
30,,74,74,0.7,,0.3,0.2222222222222222,40.22222222222222,20.22222222222222
30,,74,74,0.75,,0.25,0.0,40.44444444444444,20.22222222222222
30,,74,74,0.8,,0.2,0.0,40.666666666666664,20.333333333333332
30,,74,74,0.85,,0.15,0.0,41.22222222222222,20.61111111111111
30,,74,74,0.9,,0.1,0.0,41.22222222222222,20.61111111111111
30,,74,74,0.95,,0.05,0.0,41.333333333333336,20.666666666666668
30,,76,40,0.05,,0.95,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.1,,0.9,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.15,,0.85,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.2,,0.8,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.25,,0.75,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.3,,0.7,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.35,,0.65,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.4,,0.6,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.45,,0.55,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.5,,0.5,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.55,,0.45,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.6,,0.4,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.65,,0.35,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.7,,0.3,2.4444444444444446,46.22222222222222,24.333333333333332
30,,76,40,0.75,,0.25,2.4444444444444446,46.22222222222222,24.333333333333332
